SubmissionId,LeadId,SubChannelId,SubChannelName,MarketingUnitId,MUName,TrackId,CampaignName,ClientRelationshipId,CountAgainstCap
13490359,16907766,15,Paid Search,47,Religion,30772EF4-DEE1-4460-BEF8-6A3AF217906F,ppc_msn_ce_ministry_notexclusive,8679,1
13490359,16907765,15,Paid Search,47,Religion,30772EF4-DEE1-4460-BEF8-6A3AF217906F,ppc_msn_ce_ministry_notexclusive,33,1
13490358,16907764,5,Traditional Display,222,MediaAlpha,40821553-752E-429D-B90E-BF692A5073D5,display_emd_mediaalpha_USA_TY_healthcare_mpe,23,1
13490358,16907763,5,Traditional Display,222,MediaAlpha,40821553-752E-429D-B90E-BF692A5073D5,display_emd_mediaalpha_USA_TY_healthcare_mpe,8714,1
13490356,16907762,15,Paid Search,165,Degree Premier,CDB056EE-367E-4EA3-A15B-DDBE4D0A5577,ppc_google_ec_degree_socialwork_match1plus_mpe,91,1
13490356,16907760,15,Paid Search,165,Degree Premier,CDB056EE-367E-4EA3-A15B-DDBE4D0A5577,ppc_google_ec_degree_socialwork_match1plus_mpe,8657,1
13490355,16907758,7,GDN,63,Targeted Campus,C4D199A8-8899-4DF9-BB14-48B7618FFDA3,ppcd_gdn_ec_grants_campusonly_mpe,22,1
13490354,16907757,15,Paid Search,28,Head Terms,30CE4EFF-DF1F-43AE-8D0E-581D8AC7F3B0,ppc_google_ec_generic_ht2011_mpe_noclicksads_oct2016,8644,1
13490350,16907756,15,Paid Search,44,FinancialAidV2,6CD7FA49-3EA9-4A2F-A58E-2D903968C38C,ppc_google_ec_newfinaid_federal_mpe,91,1
13490351,16907755,5,Traditional Display,74,Campus Explorer,5891F0C4-2979-4E38-B27F-388C76E0A6B4,display_ec_campusexplorer_medical_mpe,23,1
13490343,16907754,15,Paid Search,24,Degree,58468742-D861-4E89-B09C-98FAD73DB000,ppc_google_ec_degree_vocational_new,8657,1
13490348,16907753,20,Clicks,168,Clicks,F9319C4A-61B1-424A-B818-5870DE2EEAE8,post.degree.today_eddy,8680,1
13490333,16907735,15,Paid Search,24,Degree,502B0567-A045-4622-B1C4-8359B9066EA5,ppc_google_el_cnasearch_mpe,23,1
13490331,16907734,5,Traditional Display,74,Campus Explorer,5891F0C4-2979-4E38-B27F-388C76E0A6B4,display_ec_campusexplorer_medical_mpe,91,1
13490332,16907733,15,Paid Search,24,Degree,0E1862D3-812D-4AFD-9E15-75BBD6A9E666,ppc_google_microsite_bno_lpn_mpe,22,1
13490331,16907732,5,Traditional Display,74,Campus Explorer,5891F0C4-2979-4E38-B27F-388C76E0A6B4,display_ec_campusexplorer_medical_mpe,23,1
13490331,16907731,5,Traditional Display,74,Campus Explorer,5891F0C4-2979-4E38-B27F-388C76E0A6B4,display_ec_campusexplorer_medical_mpe,71,1
13490331,16907730,5,Traditional Display,74,Campus Explorer,5891F0C4-2979-4E38-B27F-388C76E0A6B4,display_ec_campusexplorer_medical_mpe,2,1
13490330,16907728,15,Paid Search,166,FinancialAid Premier,3A087174-A835-4B36-811F-E82963F3D203,ppc_google_ec_newfinaid_grants_mpe,23,1
13490329,16907727,15,Paid Search,28,Head Terms,155ABC8C-42F0-4C7A-B970-B470DC74A840,ppc_google_ec_generic_ht2011_clickads_mpe,8644,1
13490327,16907726,20,Clicks,168,Clicks,2EB5AEF0-FB7E-4620-9C48-9CA0E9CBC050,post.degree.today_DMS,8680,1
13490322,16907724,15,Paid Search,24,Degree,2A881E68-6E48-4E7E-9117-9A0C89AEE1C9,ppc_google_ec_degree_rntobsn_mpe,8629,1
13490320,16907723,12,Online Partners,126,Jobcase H&P,ACC8EE78-9521-4806-B5F0-6F8D377A1939,Link out,8593,1
13490317,16907722,15,Paid Search,24,Degree,C0FFAB20-4305-48B4-8DE3-2D037FFAA165,ppc_google_ec_degree_police_loantest,91,1
13490317,16907721,15,Paid Search,24,Degree,C0FFAB20-4305-48B4-8DE3-2D037FFAA165,ppc_google_ec_degree_police_loantest,8593,1
13490317,16907720,15,Paid Search,24,Degree,C0FFAB20-4305-48B4-8DE3-2D037FFAA165,ppc_google_ec_degree_police_loantest,8655,1
13490315,16907718,16,SEO,46,SEO,8E43C61A-7B96-481F-B6E3-6A71A7ABBF95,EC SEO,8714,1
13490315,16907717,16,SEO,46,SEO,8E43C61A-7B96-481F-B6E3-6A71A7ABBF95,EC SEO,8649,1
13490315,16907716,16,SEO,46,SEO,8E43C61A-7B96-481F-B6E3-6A71A7ABBF95,EC SEO,22,1
13490315,16907715,16,SEO,46,SEO,8E43C61A-7B96-481F-B6E3-6A71A7ABBF95,EC SEO,2,1
13490313,16907714,5,Traditional Display,74,Campus Explorer,DA93387D-E605-4F1A-841A-B7BFF75C1802,display_el_campusexplorer_medical_mpe,23,1
13490313,16907713,5,Traditional Display,74,Campus Explorer,DA93387D-E605-4F1A-841A-B7BFF75C1802,display_el_campusexplorer_medical_mpe,2,1
